KatID,OberKatID,Name,Rabatt,Von,Bis,Festlegung
GStPALMKOHL ,GSt,Palmkohl ,6.00,16.01.2025,18.01.2025,02.01.2025
GStROSENKOHL ,GSt,Rosenkohl ,1.00,15.12.2024,14.01.2025,02.01.2025
GStROSENKOHL ,GSt,Rosenkohl ,1.00,15.01.2025,19.01.2025,02.01.2025
GStROTKOHL ,GSt,Rotkohl ,1.00,15.12.2024,15.01.2025,02.01.2025
GStROTKOHL ,GSt,Rotkohl ,1.00,16.01.2025,19.01.2025,02.01.2025
GStSELLERIE ,GSt,Sellerie ,6.00,15.12.2024,15.01.2025,02.01.2025
GStSELLERIE ,GSt,Sellerie ,8.00,16.01.2025,29.01.2025,02.01.2025
GStTOMATE ,GSt,Tomate ,5.00,15.12.2024,14.01.2025,02.01.2025
GStTOMATE ,GSt,Tomate ,1.00,15.01.2025,31.01.2025,02.01.2025
GStWEIßKOHL ,GSt,Weißkohl ,10.00,15.12.2024,15.01.2025,02.01.2025
GStWEIßKOHL ,GSt,Weißkohl ,3.00,16.01.2025,18.01.2025,02.01.2025
GStWIRSING ,GSt,Wirsing ,9.00,15.12.2024,14.01.2025,02.01.2025
GStWIRSING ,GSt,Wirsing ,3.00,15.01.2025,31.01.2025,02.01.2025
GStZUCCHINI ,GSt,Zucchini ,3.00,15.12.2024,15.01.2025,02.01.2025
GStZUCCHINI ,GSt,Zucchini ,4.00,16.01.2025,24.01.2025,02.01.2025
GStZUCKERMAIS ,GSt,Zuckermais ,2.00,15.12.2024,15.01.2025,02.01.2025
GStZUCKERMAIS ,GSt,Zuckermais ,9.00,16.01.2025,17.01.2025,02.01.2025
K,,Kräuter,9.00,15.12.2024,15.01.2025,02.01.2025
K,,Kräuter,9.00,16.01.2025,30.01.2025,02.01.2025
KMi,K,Mittelzehrer,3.00,15.12.2024,15.01.2025,02.01.2025
KMi,K,Mittelzehrer,9.00,16.01.2025,24.01.2025,02.01.2025
KMiPETERSILIE ,KMi,Petersilie ,8.00,15.12.2024,15.01.2025,02.01.2025
KMiPETERSILIE ,KMi,Petersilie ,4.00,16.01.2025,18.01.2025,02.01.2025
KSc,K,Schwachzehrer,6.00,15.12.2024,15.01.2025,02.01.2025
KSc,K,Schwachzehrer,8.00,16.01.2025,18.01.2025,02.01.2025
KScBASILIKUM ,KSc,Basilikum ,4.00,15.12.2024,14.01.2025,02.01.2025
KScBASILIKUM ,KSc,Basilikum ,5.00,15.01.2025,24.01.2025,02.01.2025
KScBRUNNENKRESSE,KSc,Brunnenkresse,6.00,15.12.2024,15.01.2025,02.01.2025
KScBRUNNENKRESSE,KSc,Brunnenkresse,3.00,16.01.2025,27.01.2025,02.01.2025
KScDILL ,KSc,Dill ,8.00,15.12.2024,14.01.2025,02.01.2025
KScDILL ,KSc,Dill ,8.00,15.01.2025,27.01.2025,02.01.2025
KScKNOBLAUCHSRAUKE,KSc,Knoblauchsrauke,6.00,15.12.2024,14.01.2025,02.01.2025
KScKNOBLAUCHSRAUKE,KSc,Knoblauchsrauke,8.00,15.01.2025,18.01.2025,02.01.2025
KScKORIANDER,KSc,Koriander,3.00,15.12.2024,14.01.2025,02.01.2025
KScKORIANDER,KSc,Koriander,2.00,15.01.2025,30.01.2025,02.01.2025
KScLAUCH-HELLERKRAUT,KSc,Lauch-Hellerkraut,7.00,15.12.2024,15.01.2025,02.01.2025
KScLAUCH-HELLERKRAUT,KSc,Lauch-Hellerkraut,2.00,16.01.2025,29.01.2025,02.01.2025
P,,Pflanzgut,5.00,15.12.2024,14.01.2025,02.01.2025
P,,Pflanzgut,6.00,15.01.2025,26.01.2025,02.01.2025
PMi,P,Mittelzehrer,3.00,15.12.2024,15.01.2025,02.01.2025
PMi,P,Mittelzehrer,2.00,16.01.2025,30.01.2025,02.01.2025
PMiKNOBLAUCH ,PMi,Knoblauch ,7.00,15.12.2024,14.01.2025,02.01.2025
PMiKNOBLAUCH ,PMi,Knoblauch ,2.00,15.01.2025,20.01.2025,02.01.2025
PMiKNOLLIGER ,PMi,Knolliger ,8.00,15.12.2024,14.01.2025,02.01.2025
PMiKNOLLIGER ,PMi,Knolliger ,1.00,15.01.2025,22.01.2025,02.01.2025
PMiSCHALOTTE ,PMi,Schalotte ,6.00,15.12.2024,14.01.2025,02.01.2025
PMiSCHALOTTE ,PMi,Schalotte ,3.00,15.01.2025,26.01.2025,02.01.2025
PMiZWIEBEL ,PMi,Zwiebel ,4.00,15.12.2024,14.01.2025,02.01.2025
PMiZWIEBEL ,PMi,Zwiebel ,8.00,15.01.2025,21.01.2025,02.01.2025
PSc,P,Schwachzehrer,10.00,15.12.2024,14.01.2025,02.01.2025
PSc,P,Schwachzehrer,1.00,15.01.2025,26.01.2025,02.01.2025
PScTOPINAMBUR ,PSc,Topinambur ,1.00,15.12.2024,14.01.2025,02.01.2025
PScTOPINAMBUR ,PSc,Topinambur ,10.00,15.01.2025,19.01.2025,02.01.2025
PSt,P,Starkzehrer,6.00,15.12.2024,15.01.2025,02.01.2025
PSt,P,Starkzehrer,2.00,16.01.2025,20.01.2025,02.01.2025
PStKARTOFFEL ,PSt,Kartoffel ,6.00,15.12.2024,14.01.2025,02.01.2025
PStKARTOFFEL ,PSt,Kartoffel ,10.00,15.01.2025,25.01.2025,02.01.2025
PStSÜßKARTOFFEL ,PSt,Süßkartoffel ,4.00,15.12.2024,14.01.2025,02.01.2025
PStSÜßKARTOFFEL ,PSt,Süßkartoffel ,6.00,15.01.2025,18.01.2025,02.01.2025
