KatID,OberKatID,Name,Rabatt,Von,Bis,Festlegung
GStWEIßKOHL ,GSt,Weißkohl ,5.00,31.01.2025,14.02.2025,10.01.2025
GStWEIßKOHL ,GSt,Weißkohl ,10.00,15.02.2025,20.02.2025,20.01.2025
GStWIRSING ,GSt,Wirsing ,3.00,15.01.2025,31.01.2025,02.01.2025
GStWIRSING ,GSt,Wirsing ,2.00,31.01.2025,14.02.2025,02.01.2025
GStWIRSING ,GSt,Wirsing ,8.00,15.02.2025,21.02.2025,10.01.2025
GStZUCCHINI ,GSt,Zucchini ,4.00,16.01.2025,24.01.2025,02.01.2025
GStZUCCHINI ,GSt,Zucchini ,5.00,31.01.2025,14.02.2025,20.01.2025
GStZUCCHINI ,GSt,Zucchini ,2.00,15.02.2025,22.02.2025,10.01.2025
GStZUCKERMAIS ,GSt,Zuckermais ,9.00,16.01.2025,17.01.2025,02.01.2025
GStZUCKERMAIS ,GSt,Zuckermais ,5.00,31.01.2025,14.02.2025,02.01.2025
GStZUCKERMAIS ,GSt,Zuckermais ,7.00,15.02.2025,21.02.2025,10.01.2025
K,,Kräuter,9.00,16.01.2025,30.01.2025,02.01.2025
K,,Kräuter,8.00,31.01.2025,14.02.2025,02.01.2025
K,,Kräuter,7.00,15.02.2025,17.02.2025,20.01.2025
KMi,K,Mittelzehrer,9.00,16.01.2025,24.01.2025,02.01.2025
KMi,K,Mittelzehrer,2.00,31.01.2025,15.02.2025,10.01.2025
KMi,K,Mittelzehrer,7.00,16.02.2025,16.02.2025,02.01.2025
KMiPETERSILIE ,KMi,Petersilie ,4.00,16.01.2025,18.01.2025,02.01.2025
KMiPETERSILIE ,KMi,Petersilie ,9.00,31.01.2025,15.02.2025,02.01.2025
KMiPETERSILIE ,KMi,Petersilie ,3.00,16.02.2025,24.02.2025,02.01.2025
KSc,K,Schwachzehrer,8.00,16.01.2025,18.01.2025,02.01.2025
KSc,K,Schwachzehrer,1.00,31.01.2025,15.02.2025,20.01.2025
KSc,K,Schwachzehrer,3.00,16.02.2025,18.02.2025,10.01.2025
KScBASILIKUM ,KSc,Basilikum ,5.00,15.01.2025,24.01.2025,02.01.2025
KScBASILIKUM ,KSc,Basilikum ,5.00,31.01.2025,14.02.2025,10.01.2025
KScBASILIKUM ,KSc,Basilikum ,9.00,15.02.2025,18.02.2025,02.01.2025
KScBRUNNENKRESSE,KSc,Brunnenkresse,3.00,16.01.2025,27.01.2025,02.01.2025
KScBRUNNENKRESSE,KSc,Brunnenkresse,1.00,31.01.2025,15.02.2025,10.01.2025
KScBRUNNENKRESSE,KSc,Brunnenkresse,3.00,16.02.2025,16.02.2025,10.01.2025
KScDILL ,KSc,Dill ,8.00,15.01.2025,27.01.2025,02.01.2025
KScDILL ,KSc,Dill ,3.00,31.01.2025,15.02.2025,10.01.2025
KScDILL ,KSc,Dill ,4.00,16.02.2025,22.02.2025,10.01.2025
KScKNOBLAUCHSRAUKE,KSc,Knoblauchsrauke,8.00,15.01.2025,18.01.2025,02.01.2025
KScKNOBLAUCHSRAUKE,KSc,Knoblauchsrauke,6.00,31.01.2025,14.02.2025,20.01.2025
KScKNOBLAUCHSRAUKE,KSc,Knoblauchsrauke,3.00,15.02.2025,25.02.2025,20.01.2025
KScKORIANDER,KSc,Koriander,2.00,15.01.2025,30.01.2025,02.01.2025
KScKORIANDER,KSc,Koriander,5.00,31.01.2025,14.02.2025,20.01.2025
KScKORIANDER,KSc,Koriander,8.00,15.02.2025,20.02.2025,20.01.2025
KScLAUCH-HELLERKRAUT,KSc,Lauch-Hellerkraut,2.00,16.01.2025,29.01.2025,02.01.2025
KScLAUCH-HELLERKRAUT,KSc,Lauch-Hellerkraut,9.00,31.01.2025,15.02.2025,02.01.2025
KScLAUCH-HELLERKRAUT,KSc,Lauch-Hellerkraut,10.00,16.02.2025,19.02.2025,02.01.2025
P,,Pflanzgut,6.00,15.01.2025,26.01.2025,02.01.2025
P,,Pflanzgut,8.00,31.01.2025,14.02.2025,10.01.2025
P,,Pflanzgut,4.00,15.02.2025,27.02.2025,02.01.2025
PMi,P,Mittelzehrer,2.00,16.01.2025,30.01.2025,02.01.2025
PMi,P,Mittelzehrer,2.00,31.01.2025,15.02.2025,02.01.2025
PMi,P,Mittelzehrer,9.00,16.02.2025,27.02.2025,02.01.2025
PMiKNOBLAUCH ,PMi,Knoblauch ,2.00,15.01.2025,20.01.2025,02.01.2025
PMiKNOBLAUCH ,PMi,Knoblauch ,2.00,31.01.2025,15.02.2025,02.01.2025
PMiKNOBLAUCH ,PMi,Knoblauch ,2.00,16.02.2025,26.02.2025,20.01.2025
PMiKNOLLIGER ,PMi,Knolliger ,1.00,15.01.2025,22.01.2025,02.01.2025
PMiKNOLLIGER ,PMi,Knolliger ,6.00,31.01.2025,14.02.2025,10.01.2025
PMiKNOLLIGER ,PMi,Knolliger ,5.00,15.02.2025,17.02.2025,20.01.2025
PMiSCHALOTTE ,PMi,Schalotte ,3.00,15.01.2025,26.01.2025,02.01.2025
PMiSCHALOTTE ,PMi,Schalotte ,10.00,31.01.2025,15.02.2025,02.01.2025
PMiSCHALOTTE ,PMi,Schalotte ,2.00,16.02.2025,26.02.2025,10.01.2025
PMiZWIEBEL ,PMi,Zwiebel ,8.00,15.01.2025,21.01.2025,02.01.2025
PMiZWIEBEL ,PMi,Zwiebel ,7.00,31.01.2025,15.02.2025,20.01.2025
PMiZWIEBEL ,PMi,Zwiebel ,6.00,16.02.2025,21.02.2025,20.01.2025
PSc,P,Schwachzehrer,1.00,15.01.2025,26.01.2025,02.01.2025
PSc,P,Schwachzehrer,6.00,31.01.2025,15.02.2025,02.01.2025
PSc,P,Schwachzehrer,10.00,16.02.2025,23.02.2025,02.01.2025
PScTOPINAMBUR ,PSc,Topinambur ,10.00,15.01.2025,19.01.2025,02.01.2025
PScTOPINAMBUR ,PSc,Topinambur ,7.00,31.01.2025,14.02.2025,02.01.2025
PScTOPINAMBUR ,PSc,Topinambur ,6.00,15.02.2025,17.02.2025,10.01.2025
PSt,P,Starkzehrer,2.00,16.01.2025,20.01.2025,02.01.2025
PSt,P,Starkzehrer,9.00,31.01.2025,15.02.2025,10.01.2025
PSt,P,Starkzehrer,4.00,16.02.2025,17.02.2025,02.01.2025
PStKARTOFFEL ,PSt,Kartoffel ,10.00,15.01.2025,25.01.2025,02.01.2025
PStKARTOFFEL ,PSt,Kartoffel ,5.00,31.01.2025,14.02.2025,02.01.2025
PStKARTOFFEL ,PSt,Kartoffel ,10.00,15.02.2025,22.02.2025,02.01.2025
PStSÜßKARTOFFEL ,PSt,Süßkartoffel ,6.00,15.01.2025,18.01.2025,02.01.2025
PStSÜßKARTOFFEL ,PSt,Süßkartoffel ,9.00,31.01.2025,14.02.2025,02.01.2025
PStSÜßKARTOFFEL ,PSt,Süßkartoffel ,7.00,15.02.2025,28.02.2025,02.01.2025
