KatID,OberKatID,Name,Rabatt,Von,Bis,Festlegung,Stand
GSt,G,Starkzehrer,3.00,16.02.2025,19.02.2025,02.01.2025,15.01.2025
GSt,G,Starkzehrer,5.00,01.03.2025,16.03.2025,10.01.2025,01.02.2025
GSt,G,Starkzehrer,10.00,17.03.2025,20.03.2025,10.01.2025,01.02.2025
GStANDENBEERE ,GSt,Andenbeere ,8.00,15.02.2025,16.02.2025,20.01.2025,15.01.2025
GStANDENBEERE ,GSt,Andenbeere ,7.00,01.03.2025,15.03.2025,10.01.2025,01.02.2025
GStANDENBEERE ,GSt,Andenbeere ,9.00,16.03.2025,23.03.2025,02.01.2025,01.02.2025
GStAUBERGINE ,GSt,Aubergine ,6.00,15.02.2025,17.02.2025,02.01.2025,15.01.2025
GStAUBERGINE ,GSt,Aubergine ,9.00,01.03.2025,15.03.2025,20.01.2025,01.02.2025
GStAUBERGINE ,GSt,Aubergine ,2.00,16.03.2025,30.03.2025,20.01.2025,01.02.2025
GStBLUMENKOHL ,GSt,Blumenkohl ,2.00,15.02.2025,21.02.2025,10.01.2025,15.01.2025
GStBLUMENKOHL ,GSt,Blumenkohl ,10.00,01.03.2025,15.03.2025,20.01.2025,01.02.2025
GStBLUMENKOHL ,GSt,Blumenkohl ,1.00,16.03.2025,27.03.2025,02.01.2025,01.02.2025
GStBROKKOLI ,GSt,Brokkoli ,1.00,15.02.2025,17.02.2025,10.01.2025,15.01.2025
GStBROKKOLI ,GSt,Brokkoli ,9.00,01.03.2025,16.03.2025,10.01.2025,01.02.2025
GStBROKKOLI ,GSt,Brokkoli ,3.00,17.03.2025,31.03.2025,02.01.2025,01.02.2025
GStCHINAKOHL ,GSt,Chinakohl ,5.00,16.02.2025,22.02.2025,20.01.2025,15.01.2025
GStCHINAKOHL ,GSt,Chinakohl ,1.00,01.03.2025,15.03.2025,10.01.2025,01.02.2025
GStCHINAKOHL ,GSt,Chinakohl ,10.00,16.03.2025,17.03.2025,02.01.2025,01.02.2025
GStGRÜNKOHL ,GSt,Grünkohl ,5.00,16.02.2025,28.02.2025,20.01.2025,15.01.2025
GStGRÜNKOHL ,GSt,Grünkohl ,4.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
GStGRÜNKOHL ,GSt,Grünkohl ,7.00,17.03.2025,19.03.2025,20.01.2025,01.02.2025
GStGURKE ,GSt,Gurke ,6.00,15.02.2025,27.02.2025,02.01.2025,15.01.2025
GStGURKE ,GSt,Gurke ,2.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
GStGURKE ,GSt,Gurke ,9.00,16.03.2025,22.03.2025,10.01.2025,01.02.2025
GStKÜRBIS ,GSt,Kürbis ,8.00,16.02.2025,23.02.2025,20.01.2025,15.01.2025
GStKÜRBIS ,GSt,Kürbis ,8.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
GStKÜRBIS ,GSt,Kürbis ,8.00,17.03.2025,18.03.2025,02.01.2025,01.02.2025
GStLAUCH ,GSt,Lauch ,10.00,15.02.2025,24.02.2025,20.01.2025,15.01.2025
GStLAUCH ,GSt,Lauch ,10.00,01.03.2025,15.03.2025,20.01.2025,01.02.2025
GStLAUCH ,GSt,Lauch ,2.00,16.03.2025,25.03.2025,10.01.2025,01.02.2025
GStMELONE ,GSt,Melone ,6.00,15.02.2025,17.02.2025,10.01.2025,15.01.2025
GStMELONE ,GSt,Melone ,7.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
GStMELONE ,GSt,Melone ,1.00,17.03.2025,29.03.2025,02.01.2025,01.02.2025
GStPALMKOHL ,GSt,Palmkohl ,2.00,15.02.2025,28.02.2025,10.01.2025,15.01.2025
GStPALMKOHL ,GSt,Palmkohl ,10.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
GStPALMKOHL ,GSt,Palmkohl ,3.00,17.03.2025,27.03.2025,10.01.2025,01.02.2025
GStROSENKOHL ,GSt,Rosenkohl ,10.00,15.02.2025,23.02.2025,20.01.2025,15.01.2025
GStROSENKOHL ,GSt,Rosenkohl ,2.00,01.03.2025,16.03.2025,02.01.2025,01.02.2025
GStROSENKOHL ,GSt,Rosenkohl ,5.00,17.03.2025,30.03.2025,20.01.2025,01.02.2025
GStROTKOHL ,GSt,Rotkohl ,3.00,16.02.2025,26.02.2025,02.01.2025,15.01.2025
GStROTKOHL ,GSt,Rotkohl ,4.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
GStROTKOHL ,GSt,Rotkohl ,8.00,17.03.2025,30.03.2025,20.01.2025,01.02.2025
GStSELLERIE ,GSt,Sellerie ,10.00,15.02.2025,25.02.2025,20.01.2025,15.01.2025
GStSELLERIE ,GSt,Sellerie ,8.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
GStSELLERIE ,GSt,Sellerie ,8.00,16.03.2025,28.03.2025,20.01.2025,01.02.2025
GStTOMATE ,GSt,Tomate ,4.00,15.02.2025,16.02.2025,02.01.2025,15.01.2025
GStTOMATE ,GSt,Tomate ,6.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
GStTOMATE ,GSt,Tomate ,3.00,17.03.2025,30.03.2025,20.01.2025,01.02.2025
GStWEIßKOHL ,GSt,Weißkohl ,10.00,15.02.2025,20.02.2025,20.01.2025,15.01.2025
GStWEIßKOHL ,GSt,Weißkohl ,4.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
GStWEIßKOHL ,GSt,Weißkohl ,4.00,17.03.2025,19.03.2025,02.01.2025,01.02.2025
GStWIRSING ,GSt,Wirsing ,8.00,15.02.2025,21.02.2025,10.01.2025,15.01.2025
GStWIRSING ,GSt,Wirsing ,10.00,01.03.2025,16.03.2025,10.01.2025,01.02.2025
GStWIRSING ,GSt,Wirsing ,7.00,17.03.2025,24.03.2025,10.01.2025,01.02.2025
GStZUCCHINI ,GSt,Zucchini ,2.00,15.02.2025,22.02.2025,10.01.2025,15.01.2025
GStZUCCHINI ,GSt,Zucchini ,9.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
GStZUCCHINI ,GSt,Zucchini ,4.00,16.03.2025,18.03.2025,20.01.2025,01.02.2025
GStZUCKERMAIS ,GSt,Zuckermais ,7.00,15.02.2025,21.02.2025,10.01.2025,15.01.2025
GStZUCKERMAIS ,GSt,Zuckermais ,8.00,01.03.2025,15.03.2025,20.01.2025,01.02.2025
GStZUCKERMAIS ,GSt,Zuckermais ,9.00,16.03.2025,28.03.2025,20.01.2025,01.02.2025
K,,Kräuter,7.00,15.02.2025,17.02.2025,20.01.2025,15.01.2025
K,,Kräuter,10.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
K,,Kräuter,7.00,16.03.2025,31.03.2025,10.01.2025,01.02.2025
KMi,K,Mittelzehrer,7.00,16.02.2025,16.02.2025,02.01.2025,15.01.2025
KMi,K,Mittelzehrer,7.00,01.03.2025,15.03.2025,20.01.2025,01.02.2025
KMi,K,Mittelzehrer,3.00,16.03.2025,24.03.2025,10.01.2025,01.02.2025
KMiPETERSILIE ,KMi,Petersilie ,3.00,16.02.2025,24.02.2025,02.01.2025,15.01.2025
KMiPETERSILIE ,KMi,Petersilie ,3.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
KMiPETERSILIE ,KMi,Petersilie ,10.00,17.03.2025,23.03.2025,02.01.2025,01.02.2025
KSc,K,Schwachzehrer,3.00,16.02.2025,18.02.2025,10.01.2025,15.01.2025
KSc,K,Schwachzehrer,10.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
KSc,K,Schwachzehrer,10.00,16.03.2025,24.03.2025,10.01.2025,01.02.2025
KScBASILIKUM ,KSc,Basilikum ,9.00,15.02.2025,18.02.2025,02.01.2025,15.01.2025
KScBASILIKUM ,KSc,Basilikum ,2.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
KScBASILIKUM ,KSc,Basilikum ,1.00,17.03.2025,17.03.2025,10.01.2025,01.02.2025
KScBRUNNENKRESSE,KSc,Brunnenkresse,3.00,16.02.2025,16.02.2025,10.01.2025,15.01.2025
KScBRUNNENKRESSE,KSc,Brunnenkresse,6.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
KScBRUNNENKRESSE,KSc,Brunnenkresse,6.00,17.03.2025,31.03.2025,20.01.2025,01.02.2025
KScDILL ,KSc,Dill ,4.00,16.02.2025,22.02.2025,10.01.2025,15.01.2025
KScDILL ,KSc,Dill ,5.00,01.03.2025,16.03.2025,10.01.2025,01.02.2025
KScDILL ,KSc,Dill ,3.00,17.03.2025,28.03.2025,20.01.2025,01.02.2025
KScKNOBLAUCHSRAUKE,KSc,Knoblauchsrauke,3.00,15.02.2025,25.02.2025,20.01.2025,15.01.2025
KScKNOBLAUCHSRAUKE,KSc,Knoblauchsrauke,7.00,01.03.2025,16.03.2025,02.01.2025,01.02.2025
KScKNOBLAUCHSRAUKE,KSc,Knoblauchsrauke,5.00,17.03.2025,22.03.2025,20.01.2025,01.02.2025
KScKORIANDER,KSc,Koriander,8.00,15.02.2025,20.02.2025,20.01.2025,15.01.2025
KScKORIANDER,KSc,Koriander,5.00,01.03.2025,15.03.2025,20.01.2025,01.02.2025
KScKORIANDER,KSc,Koriander,4.00,16.03.2025,30.03.2025,02.01.2025,01.02.2025
KScLAUCH-HELLERKRAUT,KSc,Lauch-Hellerkraut,10.00,16.02.2025,19.02.2025,02.01.2025,15.01.2025
KScLAUCH-HELLERKRAUT,KSc,Lauch-Hellerkraut,1.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
KScLAUCH-HELLERKRAUT,KSc,Lauch-Hellerkraut,1.00,16.03.2025,25.03.2025,02.01.2025,01.02.2025
P,,Pflanzgut,4.00,15.02.2025,27.02.2025,02.01.2025,15.01.2025
P,,Pflanzgut,5.00,01.03.2025,15.03.2025,10.01.2025,01.02.2025
P,,Pflanzgut,3.00,16.03.2025,29.03.2025,02.01.2025,01.02.2025
PMi,P,Mittelzehrer,9.00,16.02.2025,27.02.2025,02.01.2025,15.01.2025
PMi,P,Mittelzehrer,9.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
PMi,P,Mittelzehrer,4.00,17.03.2025,30.03.2025,10.01.2025,01.02.2025
PMiKNOBLAUCH ,PMi,Knoblauch ,2.00,16.02.2025,26.02.2025,20.01.2025,15.01.2025
PMiKNOBLAUCH ,PMi,Knoblauch ,7.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
PMiKNOBLAUCH ,PMi,Knoblauch ,7.00,16.03.2025,20.03.2025,20.01.2025,01.02.2025
PMiKNOLLIGER ,PMi,Knolliger ,5.00,15.02.2025,17.02.2025,20.01.2025,15.01.2025
PMiKNOLLIGER ,PMi,Knolliger ,8.00,01.03.2025,15.03.2025,20.01.2025,01.02.2025
PMiKNOLLIGER ,PMi,Knolliger ,9.00,16.03.2025,29.03.2025,20.01.2025,01.02.2025
PMiSCHALOTTE ,PMi,Schalotte ,2.00,16.02.2025,26.02.2025,10.01.2025,15.01.2025
PMiSCHALOTTE ,PMi,Schalotte ,9.00,01.03.2025,16.03.2025,10.01.2025,01.02.2025
PMiSCHALOTTE ,PMi,Schalotte ,10.00,17.03.2025,28.03.2025,02.01.2025,01.02.2025
PMiZWIEBEL ,PMi,Zwiebel ,6.00,16.02.2025,21.02.2025,20.01.2025,15.01.2025
PMiZWIEBEL ,PMi,Zwiebel ,1.00,01.03.2025,16.03.2025,02.01.2025,01.02.2025
PMiZWIEBEL ,PMi,Zwiebel ,10.00,17.03.2025,31.03.2025,02.01.2025,01.02.2025
PSc,P,Schwachzehrer,10.00,16.02.2025,23.02.2025,02.01.2025,15.01.2025
PSc,P,Schwachzehrer,2.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
PSc,P,Schwachzehrer,10.00,16.03.2025,23.03.2025,02.01.2025,01.02.2025
PScTOPINAMBUR ,PSc,Topinambur ,6.00,15.02.2025,17.02.2025,10.01.2025,15.01.2025
PScTOPINAMBUR ,PSc,Topinambur ,2.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
PScTOPINAMBUR ,PSc,Topinambur ,5.00,16.03.2025,18.03.2025,10.01.2025,01.02.2025
PSt,P,Starkzehrer,4.00,16.02.2025,17.02.2025,02.01.2025,15.01.2025
PSt,P,Starkzehrer,8.00,01.03.2025,16.03.2025,20.01.2025,01.02.2025
PSt,P,Starkzehrer,10.00,17.03.2025,21.03.2025,10.01.2025,01.02.2025
PStKARTOFFEL ,PSt,Kartoffel ,10.00,15.02.2025,22.02.2025,02.01.2025,15.01.2025
PStKARTOFFEL ,PSt,Kartoffel ,1.00,01.03.2025,16.03.2025,02.01.2025,01.02.2025
PStKARTOFFEL ,PSt,Kartoffel ,10.00,17.03.2025,29.03.2025,02.01.2025,01.02.2025
PStSÜßKARTOFFEL ,PSt,Süßkartoffel ,7.00,15.02.2025,28.02.2025,02.01.2025,15.01.2025
PStSÜßKARTOFFEL ,PSt,Süßkartoffel ,4.00,01.03.2025,15.03.2025,02.01.2025,01.02.2025
PStSÜßKARTOFFEL ,PSt,Süßkartoffel ,4.00,16.03.2025,26.03.2025,20.01.2025,01.02.2025
